track,quarter_region,activity,available_quarters,year,selected_route_id,selected_basis,baseline_predicted_eok,selected_predicted_eok,official_annual_eok,baseline_error_eok,selected_error_eok,baseline_abs_error_eok,selected_abs_error_eok,baseline_ape_pct,selected_ape_pct,target_candidate_ape_pct_if_adopted
prior_year_province_anchor,충북,정보통신업,4,2023,baseline,no_prior_positive_route,10284.435311757448,10284.435311757448,9679.17,605.2653117574482,605.2653117574482,605.2653117574482,605.2653117574482,6.253277003683665,6.253277003683665,
prior_year_province_anchor,충북,정보통신업,4,2024,baseline,no_prior_positive_route,9723.837101486126,9723.837101486126,9667.86,55.97710148612532,55.97710148612532,55.97710148612532,55.97710148612532,0.5790019868525745,0.5790019868525745,
recursive_no_target_actual,대구,건설업,1,2021,baseline,no_prior_positive_route,36140.52852048918,36140.52852048918,41049.64,-4909.111479510822,-4909.111479510822,4909.111479510822,4909.111479510822,11.9589635366128,11.958963536612801,
recursive_no_target_actual,대구,건설업,1,2022,baseline,no_prior_positive_route,41054.005149767014,41054.005149767014,41365.55,-311.5448502329891,-311.5448502329891,311.5448502329891,311.5448502329891,0.7531505086551227,0.7531505086551227,
recursive_no_target_actual,대구,건설업,1,2024,baseline,no_prior_positive_route,42574.77886298177,42574.77886298177,31555.25,11019.528862981771,11019.528862981771,11019.528862981771,11019.528862981771,34.92138031858969,34.921380318589684,
recursive_no_target_actual,대구,건설업,1,2025,regional_construction_orders_bok_12_24q,prior_positive_improvement_594.169_eok,34965.93642694446,20003.646681162692,25481.89,9484.046426944464,-5478.243318837307,9484.046426944464,5478.243318837307,37.21877155479623,21.49857533659123,21.49857533659123
recursive_no_target_actual,대구,건설업,2,2021,baseline,no_prior_positive_route,36167.22266941562,36167.22266941562,41049.64,-4882.41733058438,-4882.41733058438,4882.41733058438,4882.41733058438,11.893934588913275,11.893934588913275,
recursive_no_target_actual,대구,건설업,2,2022,baseline,no_prior_positive_route,40844.59521579461,40844.59521579461,41365.55,-520.9547842053944,-520.9547842053944,520.9547842053944,520.9547842053944,1.259392862431164,1.2593928624311639,
recursive_no_target_actual,대구,건설업,2,2024,baseline,no_prior_positive_route,41534.065436508725,41534.065436508725,31555.25,9978.815436508725,9978.815436508725,9978.815436508725,9978.815436508725,31.62331287664881,31.62331287664881,
recursive_no_target_actual,대구,건설업,2,2025,regional_construction_orders_bok_12_24q,prior_positive_improvement_3587.914_eok,35392.917892321304,20998.562432283332,25481.89,9911.027892321305,-4483.3275677166675,9911.027892321305,4483.3275677166675,38.89439869774693,17.59417204813563,17.59417204813563
recursive_no_target_actual,대구,건설업,3,2021,baseline,no_prior_positive_route,36388.064404624485,36388.064404624485,41049.64,-4661.575595375514,-4661.575595375514,4661.575595375514,4661.575595375514,11.355947568299053,11.355947568299051,
recursive_no_target_actual,대구,건설업,3,2022,regional_construction_orders_bok_12_24q,prior_positive_improvement_915.706_eok,41228.946428962234,41843.42511535766,41365.55,-136.60357103776914,477.8751153576595,136.60357103776914,477.8751153576595,0.3302351136096804,1.1552490305523788,1.1552490305523788
recursive_no_target_actual,대구,건설업,3,2024,regional_construction_orders_bok_12_24q,prior_positive_improvement_574.434_eok,40461.49892048238,27068.302602734195,31555.25,8906.24892048238,-4486.947397265805,8906.24892048238,4486.947397265805,28.224301567829063,14.219337185621427,14.219337185621429
recursive_no_target_actual,대구,건설업,3,2025,regional_construction_orders_bok_12_24q,prior_positive_improvement_4993.736_eok,35981.04582308787,21800.456844886772,25481.89,10499.155823087873,-3681.4331551132273,10499.155823087873,3681.4331551132273,41.20242188898811,14.447253147679499,14.4472531476795
recursive_no_target_actual,대구,건설업,4,2021,baseline,no_prior_positive_route,36719.8454828078,36719.8454828078,41049.64,-4329.7945171921965,-4329.7945171921965,4329.7945171921965,4329.7945171921965,10.54770399251296,10.54770399251296,
recursive_no_target_actual,대구,건설업,4,2022,regional_construction_orders_bok_12_24q,prior_positive_improvement_1244.627_eok,41456.56356672509,40300.450481588814,41365.55,91.013566725087,-1065.099518411189,91.013566725087,1065.099518411189,0.2200226196075889,2.5748467466555836,2.5748467466555836
recursive_no_target_actual,대구,건설업,4,2024,regional_construction_orders_bok_12_24q,prior_positive_improvement_270.541_eok,39875.19523005181,26637.49160235923,31555.25,8319.94523005181,-4917.758397640766,8319.94523005181,4917.758397640766,26.36627892363968,15.584596533511114,15.584596533511114
recursive_no_target_actual,대구,건설업,4,2025,regional_construction_orders_bok_12_24q,prior_positive_improvement_3672.728_eok,36211.331264606255,23325.82854040494,25481.89,10729.441264606256,-2156.061459595061,10729.441264606256,2156.061459595061,42.106143871613355,8.46115205581321,8.46115205581321
recursive_no_target_actual,대구,"광업, 제조업",1,2021,baseline,no_prior_positive_route,118942.53433572134,118942.53433572134,121066.7,-2124.1656642786547,-2124.1656642786547,2124.1656642786547,2124.1656642786547,1.7545416404995386,1.7545416404995386,
recursive_no_target_actual,대구,"광업, 제조업",1,2022,baseline,no_prior_positive_route,126206.0744753496,126206.0744753496,126425.64,-219.56552465040295,-219.56552465040295,219.56552465040295,219.56552465040295,0.1736716734440916,0.17367167344409168,
recursive_no_target_actual,대구,"광업, 제조업",1,2024,baseline,no_prior_positive_route,137601.51369412246,137601.51369412246,123123.4,14478.113694122469,14478.113694122469,14478.113694122469,14478.113694122469,11.759026873951232,11.759026873951232,
recursive_no_target_actual,대구,"광업, 제조업",1,2025,regional_manufacturing_production_index,prior_positive_improvement_11740.879_eok,134515.4839497341,114541.44294547498,121818.03,12697.453949734105,-7276.587054525022,12697.453949734105,7276.587054525022,10.423296083292517,5.973325175694454,5.973325175694454
recursive_no_target_actual,대구,"광업, 제조업",2,2021,baseline,no_prior_positive_route,123976.58485647343,123976.58485647343,121066.7,2909.884856473436,2909.884856473436,2909.884856473436,2909.884856473436,2.4035385919277856,2.403538591927785,
recursive_no_target_actual,대구,"광업, 제조업",2,2022,baseline,no_prior_positive_route,125863.16203337174,125863.16203337174,126425.64,-562.4779666282557,-562.4779666282557,562.4779666282557,562.4779666282557,0.444908142547869,0.44490814254786903,
recursive_no_target_actual,대구,"광업, 제조업",2,2024,baseline,no_prior_positive_route,135787.74513354115,135787.74513354115,123123.4,12664.345133541152,12664.345133541152,12664.345133541152,12664.345133541152,10.285896209446094,10.285896209446094,
recursive_no_target_actual,대구,"광업, 제조업",2,2025,regional_manufacturing_production_index,prior_positive_improvement_4752.637_eok,135850.03991527838,97167.01513692032,121818.03,14032.00991527838,-24651.01486307969,14032.00991527838,24651.01486307969,11.518828465111758,20.235932942832594,20.23593294283259
recursive_no_target_actual,대구,"광업, 제조업",3,2021,baseline,no_prior_positive_route,122863.63773734988,122863.63773734988,121066.7,1796.937737349872,1796.937737349872,1796.937737349872,1796.937737349872,1.4842543303401117,1.4842543303401117,
recursive_no_target_actual,대구,"광업, 제조업",3,2022,baseline,no_prior_positive_route,125911.1847652982,125911.1847652982,126425.64,-514.4552347018034,-514.4552347018034,514.4552347018034,514.4552347018034,0.4069231800620533,0.40692318006205336,
recursive_no_target_actual,대구,"광업, 제조업",3,2024,baseline,no_prior_positive_route,134720.6542861565,134720.6542861565,123123.4,11597.254286156502,11597.254286156502,11597.254286156502,11597.254286156502,9.41921217750363,9.41921217750363,
recursive_no_target_actual,대구,"광업, 제조업",3,2025,regional_manufacturing_production_index,prior_positive_improvement_2808.514_eok,136831.06620983026,67031.77321055628,121818.03,15013.036209830258,-54786.25678944372,15013.036209830258,54786.25678944372,12.324149561300784,44.97384893635509,44.97384893635509
recursive_no_target_actual,대구,"광업, 제조업",4,2021,baseline,no_prior_positive_route,120977.94710885554,120977.94710885554,121066.7,-88.75289114445332,-88.75289114445332,88.75289114445332,88.75289114445332,0.0733090859373001,0.07330908593730012,
recursive_no_target_actual,대구,"광업, 제조업",4,2022,baseline,no_prior_positive_route,123998.03519079876,123998.03519079876,126425.64,-2427.6048092012497,-2427.6048092012497,2427.6048092012497,2427.6048092012497,1.9201839193388697,1.9201839193388697,
recursive_no_target_actual,대구,"광업, 제조업",4,2024,baseline,no_prior_positive_route,133819.47058963688,133819.47058963688,123123.4,10696.070589636887,10696.070589636887,10696.070589636887,10696.070589636887,8.687276821170379,8.687276821170377,
recursive_no_target_actual,대구,"광업, 제조업",4,2025,regional_manufacturing_production_index,prior_positive_improvement_3291.800_eok,136767.97409442771,50185.69289267945,121818.03,14949.944094427716,-71632.33710732055,14949.944094427716,71632.33710732055,12.272357461721976,58.80273807360089,58.80273807360089
recursive_no_target_actual,대구,교육 서비스업,1,2021,baseline,no_prior_positive_route,43603.69180835853,43603.69180835853,44774.55,-1170.8581916414696,-1170.8581916414696,1170.8581916414696,1170.8581916414696,2.6150082840396376,2.6150082840396376,
recursive_no_target_actual,대구,교육 서비스업,1,2022,baseline,no_prior_positive_route,46936.92854587555,46936.92854587555,46314.15,622.7785458755461,622.7785458755461,622.7785458755461,622.7785458755461,1.34468309550223,1.34468309550223,
recursive_no_target_actual,대구,교육 서비스업,1,2023,baseline,no_prior_positive_route,47183.95641440315,47183.95641440315,46902.9,281.056414403145,281.056414403145,281.056414403145,281.056414403145,0.5992303554857908,0.5992303554857908,
