quarter_region,province_full,table_id,table_name,year,city,activity_group,annual_gva_eok,latest_change_date
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,관악구,정보통신업,3823.27,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,건설업,3132.16,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,"공공 행정, 국방·사회보장",2324.78,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,"광업, 제조업",3312.5,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,교육 서비스업,9180.8,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,금융 및 보험업,2193.18,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,도매 및 소매업,10066.41,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,문화 및 기타서비스업,3568.79,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,보건 및 사회복지업,6836.11,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,부동산업,10074.28,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,사업서비스업,8084.02,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,숙박 및 음식점업,4787.4,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,운수 및 창고업,2192.38,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,광진구,정보통신업,1695.5,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,건설업,5121.98,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,"공공 행정, 국방·사회보장",2657.21,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,"광업, 제조업",19525.64,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,교육 서비스업,6209.28,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,금융 및 보험업,5475.62,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,도매 및 소매업,19980.05,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,문화 및 기타서비스업,4513.97,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,보건 및 사회복지업,7225.02,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,부동산업,10627.56,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,사업서비스업,31798.87,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,숙박 및 음식점업,3346.59,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,운수 및 창고업,3659.91,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,구로구,정보통신업,33802.78,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,건설업,5271.41,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,"공공 행정, 국방·사회보장",1578.25,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,"광업, 제조업",45248.87,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,교육 서비스업,3850.74,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,금융 및 보험업,1579.22,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,도매 및 소매업,31875.59,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,문화 및 기타서비스업,3544.44,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,보건 및 사회복지업,3364.78,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,부동산업,9990.02,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,사업서비스업,35566.66,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,숙박 및 음식점업,2468.5,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,운수 및 창고업,4945.94,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,금천구,정보통신업,41176.32,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,건설업,3694.46,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,"공공 행정, 국방·사회보장",2756.61,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,"광업, 제조업",1565.9,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,교육 서비스업,12772.37,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,금융 및 보험업,2976.69,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,도매 및 소매업,6065.34,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,문화 및 기타서비스업,2939.67,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,보건 및 사회복지업,9080.66,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,부동산업,13548.61,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,사업서비스업,2663.59,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,숙박 및 음식점업,3139.66,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,운수 및 창고업,3193.13,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,노원구,정보통신업,550.81,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,건설업,1582.21,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,"공공 행정, 국방·사회보장",2711.58,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,"광업, 제조업",1184.47,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,교육 서비스업,3220.06,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,금융 및 보험업,805.72,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,도매 및 소매업,4040.29,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,문화 및 기타서비스업,2043.94,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,보건 및 사회복지업,3950.64,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,부동산업,6943.38,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,사업서비스업,2421.43,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,숙박 및 음식점업,1598.23,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,운수 및 창고업,2236.78,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,도봉구,정보통신업,361.84,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,건설업,4243.11,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,"공공 행정, 국방·사회보장",2627.95,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,"광업, 제조업",6190.320000000001,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,교육 서비스업,10291.06,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,금융 및 보험업,3266.12,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,도매 및 소매업,15131.12,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,문화 및 기타서비스업,3653.47,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,보건 및 사회복지업,8468.0,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,부동산업,9650.14,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,사업서비스업,8810.09,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,숙박 및 음식점업,2958.66,2025-10-29
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2019,동대문구,운수 및 창고업,2258.78,2025-10-29
