track,quarter_region,year,available_quarters,operating_label,predicted_cumulative_grdp_eok,official_cumulative_grdp_eok,cumulative_error_eok,cumulative_ape_pct,annualized_predicted_grdp_eok,official_annual_grdp_eok,annualized_error_eok,annualized_ape_pct,baseline_main_pred,selected_main_pred,adopted_main_rows,routed_annualized_predicted_grdp_eok,routed_annualized_error_eok,routed_annualized_ape_pct
recursive_no_target_actual,대구,2024,4,공표 후 정밀화,691453.8860394531,666316.1799999999,25137.70603945316,3.772639295574837,691453.8860394531,666316.1799999999,25137.70603945316,3.772639295574837,637809.6927010193,608204.8136154418,3.0,661849.0069538755,-4467.173046124401,0.6704284212525653
recursive_no_target_actual,대구,2025,1,1분기+1개월,168316.90833385312,163026.1,5290.808333853114,3.2453750251359224,695109.661434301,659089.7100000001,36019.95143430086,5.465106022410949,641079.6463662038,583416.9648521019,3.0,637446.979920199,-21642.730079801055,3.2837305379568216
recursive_no_target_actual,대구,2025,2,1~2분기+1개월,342017.20746174856,326230.93000000005,15786.277461748512,4.838988584481707,695502.944659357,659089.7100000001,36413.23465935688,5.524776689254772,642144.8745109548,608573.7689906713,2.0,661931.8391390734,2842.1291390733095,0.43122037803826574
recursive_no_target_actual,대구,2025,3,1~3분기+1개월,517904.7205433427,491934.8400000001,25969.880543342675,5.27913016759347,698834.9246066925,659089.7100000001,39745.21460669243,6.030319394106825,645162.2645142276,614508.7551548063,2.0,668181.4152472712,9091.705247271108,1.379433650583182
recursive_no_target_actual,대구,2025,4,공표 후 정밀화,699202.9439210286,659089.7100000001,40113.23392102856,6.086156908902212,699202.9439210286,659089.7100000001,40113.23392102856,6.086156908902212,645658.5698340766,617079.6898590319,2.0,670624.063945984,11534.353945983923,1.7500430929173392
recursive_no_target_actual,인천,2021,1,1분기+1개월,235091.7180662887,237709.45,-2617.7319337113004,1.101231748973926,976966.419549986,997815.76,-20849.34045001387,2.0894980101350447,616913.0130501569,634077.6089845134,1.0,994131.0154843426,-3684.744515657425,0.3692810500064085
recursive_no_target_actual,인천,2021,2,1~2분기+1개월,485440.60714854527,489078.42,-3637.812851454771,0.7438097251264473,999753.7663351928,997815.76,1938.0063351928256,0.1942248672433101,628189.7086832474,644562.6560598097,1.0,1016126.7137117551,18310.953711755108,1.8351036780332182
recursive_no_target_actual,인천,2021,3,1~3분기+1개월,734534.3962501258,735546.39,-1011.9937498741784,0.1375839462517351,999617.9489208006,997815.76,1802.188920800574,0.1806133950821316,631057.3782668884,647459.6496802992,1.0,1016020.2203342114,18204.460334211355,1.8244310286511565
recursive_no_target_actual,인천,2021,4,공표 후 정밀화,997574.5185285148,997815.76,-241.2414714851184,0.0241769554216219,997574.5185285148,997815.76,-241.2414714851184,0.0241769554216219,632740.7632688242,633599.3110752157,2.0,998433.0663349063,617.3063349062577,0.061865763165161645
recursive_no_target_actual,인천,2022,1,1분기+1개월,242750.13704711292,239431.01,3319.12704711291,1.3862561274385097,1030215.3503828826,1066045.0299999998,-35829.67961711716,3.360991197259009,919628.4160296255,944266.739789802,2.0,1054853.6741430592,-11191.355856940616,1.0498014194522924
recursive_no_target_actual,인천,2022,2,1~2분기+1개월,500955.323648028,505078.7,-4123.376351972052,0.8163829422963297,1030025.4572120048,1066045.0299999998,-36019.57278799487,3.3788040630886744,920412.5198036381,951021.6025032196,2.0,1060634.5399115863,-5410.4900884134695,0.5075292258914682
recursive_no_target_actual,인천,2022,3,1~3분기+1개월,759802.6830632046,778664.1799999999,-18861.4969367953,2.422289020254573,1033194.9163141184,1066045.0299999998,-32850.113685881486,3.081494004608932,923022.9882440289,958243.7440147107,2.0,1068415.6720848002,2370.6420848004054,0.2223772934620225
recursive_no_target_actual,인천,2022,4,공표 후 정밀화,1028272.5200103072,1066045.0299999998,-37772.5099896926,3.543237755134284,1028272.5200103072,1066045.0299999998,-37772.5099896926,3.543237755134284,918694.0750183676,951496.6629660837,1.0,1061075.1079580234,-4969.922041976359,0.4662018866103958
recursive_no_target_actual,인천,2023,1,1분기+1개월,253602.00265045633,261146.46,-7544.457349543663,2.8889755386857106,1071152.8216353806,1129885.71,-58732.88836461934,5.1981264870249,967601.0244696077,1023225.110338804,3.0,1126776.9075045767,-3108.8024954232387,0.2751430934924594
recursive_no_target_actual,인천,2023,2,1~2분기+1개월,525929.6081059384,547378.27,-21448.661894061603,3.918435032881668,1078009.6429628371,1129885.71,-51876.06703716284,4.591266760702978,972818.8678020614,1004186.3606183429,3.0,1109377.1357791186,-20508.57422088133,1.8151016549170562
recursive_no_target_actual,인천,2023,3,1~3분기+1개월,799563.6584143033,833985.69,-34422.03158569662,4.127412736026277,1082595.256136441,1129885.71,-47290.45386355929,4.18541923709782,977188.4484084884,995636.2455189396,3.0,1101043.053246892,-28842.656753107905,2.552705684994273
recursive_no_target_actual,인천,2023,4,공표 후 정밀화,1084648.786801638,1129885.71,-45236.92319836188,4.003672477489947,1084648.786801638,1129885.71,-45236.92319836188,4.003672477489947,978434.2686996155,992131.2833485294,2.0,1098345.801450552,-31539.90854944801,2.7914246786471892
recursive_no_target_actual,인천,2024,1,1분기+1개월,266000.447883092,279574.02999999997,-13573.582116907986,4.855094057523149,1127020.1507155336,1164771.64,-37751.48928446649,3.2411064957304836,1013612.5776541417,1068884.6974572232,2.0,1182292.2705186151,17520.630518615246,1.5042116340173983
recursive_no_target_actual,인천,2024,2,1~2분기+1개월,545531.7738901072,573093.08,-27561.306109892783,4.809219840849027,1121405.58049733,1164771.64,-43366.05950267008,3.723138340032908,1010800.1898884585,1059168.07086511,2.0,1169773.4614739816,5001.8214739817195,0.42942507374078237
recursive_no_target_actual,인천,2024,3,1~3분기+1개월,825338.320490145,866761.53,-41423.20950985502,4.779077990442771,1119229.258363159,1164771.64,-45542.38163684122,3.9099837318189863,1008470.9243991337,1053834.5944472188,2.0,1164592.928411244,-178.71158875594847,0.01534305803976722
recursive_no_target_actual,인천,2024,4,공표 후 정밀화,1114052.3350827964,1164771.64,-50719.30491720373,4.354441950286815,1114052.3350827964,1164771.64,-50719.30491720373,4.354441950286815,1004086.9890449124,1050299.136222073,2.0,1160264.4822599571,-4507.157740042778,0.3869563427937495
recursive_no_target_actual,인천,2025,1,1분기+1개월,266285.70618127374,272182.56,-5896.85381872626,2.1665068543430044,1106336.9589221096,1150481.96,-44145.0010778904,3.837087639156932,995580.716099858,1044310.5702025556,2.0,1155066.8130248073,4584.853024807293,0.3985158554600276
recursive_no_target_actual,인천,2025,2,1~2분기+1개월,547053.588670142,562643.06,-15589.47132985806,2.770756886232287,1114537.134895509,1150481.96,-35944.825104490854,3.124327573505877,1005158.3133935204,1057065.5611402951,2.0,1166444.3826422838,15962.42264228384,1.3874552750295919
