track,route_id,activity,available_quarters,rows,baseline_abs_error_sum_eok,candidate_abs_error_sum_eok,official_sum_eok,improved_rows,baseline_wape_pct,candidate_wape_pct,delta_wape_pp,adopt_route
prior_year_province_anchor,regional_service_production_index_Q,보건 및 사회복지업,1,24,22164.074048830702,28162.33742312416,911574.23,12,2.4314063868205995,3.0894178988719507,0.6580115120513512,False
prior_year_province_anchor,regional_service_production_index_Q,보건 및 사회복지업,2,24,16418.060212910612,17692.810577963708,911574.23,9,1.801066734072837,1.9409072783862822,0.13984054431344517,False
prior_year_province_anchor,regional_service_production_index_Q,보건 및 사회복지업,3,24,13649.386562641022,15171.6117355582,911574.23,10,1.497342302298412,1.664330916370705,0.16698861407229293,False
prior_year_province_anchor,regional_service_production_index_Q,보건 및 사회복지업,4,24,12355.736324037349,12709.639812947058,911574.23,12,1.3554284354920114,1.3942517674010002,0.03882333190898879,False
prior_year_province_anchor,regional_service_production_index_R_S,문화 및 기타서비스업,1,25,19597.385451648654,63800.81397793877,461528.81999999995,4,4.24618888407633,13.823798474370196,9.577609590293866,False
prior_year_province_anchor,regional_service_production_index_R_S,문화 및 기타서비스업,2,25,17179.10998316204,59478.70343289967,461528.81999999995,5,3.7222182534910915,12.887321626610376,9.165103373119285,False
prior_year_province_anchor,regional_service_production_index_R_S,문화 및 기타서비스업,3,25,16414.241635171755,59996.65285183741,461528.81999999995,9,3.556493316099254,12.999546345087923,9.443053028988668,False
prior_year_province_anchor,regional_service_production_index_R_S,문화 및 기타서비스업,4,25,15857.285386007889,60271.65573349311,461528.81999999995,8,3.4358169411842776,13.059131547514871,9.623314606330593,False
prior_year_province_anchor,regional_service_production_index_T,서비스업,1,21,215985.35978442963,215194.8005610901,7992596.220000001,11,2.702317918224945,2.6924267739511816,-0.009891144273763253,True
prior_year_province_anchor,regional_service_production_index_T,서비스업,2,21,165032.19388408947,151860.77207045018,7992596.220000001,9,2.0648133515255878,1.9000180653496113,-0.1647952861759765,True
prior_year_province_anchor,regional_service_production_index_T,서비스업,3,21,147940.43329127837,119885.92394195443,7992596.220000001,9,1.8509684365273535,1.4999622230629137,-0.35100621346443983,True
prior_year_province_anchor,regional_service_production_index_T,서비스업,4,21,141958.59080927694,120085.13841417606,7992596.220000001,8,1.7761261410160032,1.502454710694444,-0.2736714303215593,True
recursive_no_target_actual,regional_construction_orders_bok_12_24q,건설업,1,22,119943.1387034324,92399.4092613943,899593.6799999999,11,13.33303483228477,10.271238150694247,-3.0617966815905238,True
recursive_no_target_actual,regional_construction_orders_bok_12_24q,건설업,2,22,118433.39712114182,86731.35072409105,899593.6799999999,12,13.165210000268324,9.641169413739219,-3.5240405865291056,True
recursive_no_target_actual,regional_construction_orders_bok_12_24q,건설업,3,22,114995.66680785191,78039.93310053114,899593.6799999999,14,12.783067440830834,8.675020160271817,-4.108047280559017,True
recursive_no_target_actual,regional_construction_orders_bok_12_24q,건설업,4,22,111446.84227278245,71638.44024515711,899593.6799999999,14,12.388575503640983,7.963421913452873,-4.42515359018811,True
recursive_no_target_actual,regional_construction_orders_raw,건설업,1,22,119943.1387034324,705630.7576792527,899593.6799999999,2,13.33303483228477,78.43883003705103,65.10579520476627,False
recursive_no_target_actual,regional_construction_orders_raw,건설업,2,22,118433.39712114182,399979.4111191537,899593.6799999999,5,13.165210000268324,44.46223000579037,31.297020005522043,False
recursive_no_target_actual,regional_construction_orders_raw,건설업,3,22,114995.66680785191,338113.5869394579,899593.6799999999,5,12.783067440830834,37.585144766630414,24.80207732579958,False
recursive_no_target_actual,regional_construction_orders_raw,건설업,4,22,111446.84227278245,271742.23320996715,899593.6799999999,4,12.388575503640983,30.20721902025447,17.818643516613488,False
recursive_no_target_actual,regional_manufacturing_production_index,"광업, 제조업",1,14,182334.4671408356,198295.28734194848,3861314.0400000005,5,4.72208334396017,5.135435379971023,0.4133520360108527,False
recursive_no_target_actual,regional_manufacturing_production_index,"광업, 제조업",2,14,177194.50983492905,315513.771743623,3861314.0400000005,5,4.588969143647509,8.171150247691921,3.5821811040444125,False
