track,activity,available_quarters,rows,adopted_rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
prior_year_province_anchor,서비스업,1,21,10,7992596.220000001,215985.35978442963,204203.45134066214,7.19716150950794,2.702317918224945,2.554907638517765,-0.1474102797071799
prior_year_province_anchor,서비스업,2,21,7,7992596.220000001,165032.19388408947,133692.11197541462,4.885975955369781,2.0648133515255878,1.6726994370224124,-0.39211391450317534
prior_year_province_anchor,서비스업,3,21,8,7992596.220000001,147940.43329127837,124721.17075850892,4.59049883213911,1.8509684365273535,1.5604587961846135,-0.29050964034274007
prior_year_province_anchor,서비스업,4,21,8,7992596.220000001,141958.59080927694,105874.12609507107,5.428611931717634,1.7761261410160032,1.3246525056544274,-0.4514736353615758
prior_year_province_anchor,숙박 및 음식점업,1,19,7,261051.91,22231.84899370373,20825.253252318846,32.824408970564974,8.516256017319977,7.977437610902309,-0.5388184064176675
prior_year_province_anchor,숙박 및 음식점업,2,19,8,261051.91,10915.58565648322,11274.658767004468,16.640113080449186,4.181385095586245,4.318933643122729,0.1375485475364835
prior_year_province_anchor,숙박 및 음식점업,3,19,5,261051.91,6080.397329457033,6834.491047285361,7.52008533232613,2.3291908990273362,2.6180582426251395,0.2888673435978033
prior_year_province_anchor,숙박 및 음식점업,4,19,10,261051.91,5422.564927890678,5192.697894199761,5.650982640709805,2.0771979518903647,1.9891438044639325,-0.08805414742643225
prior_year_province_anchor,운수 및 창고업,1,24,3,1026507.16,110690.37031817548,112586.2057947481,25.85202049118151,10.783204894369707,10.967892887834129,0.1846879934644221
prior_year_province_anchor,운수 및 창고업,2,24,5,1026507.16,97819.62127518746,59229.77730224059,17.156964946004447,9.529365706049967,5.770030605752481,-3.759335100297486
prior_year_province_anchor,운수 및 창고업,3,24,6,1026507.16,93426.71604911167,53210.273051600736,14.377523819693202,9.101418839505383,5.1836241504248965,-3.9177946890804867
prior_year_province_anchor,운수 및 창고업,4,24,7,1026507.16,90501.24817192002,51188.03194231937,15.234076183037528,8.8164263921861,4.986622006837182,-3.8298043853489183
prior_year_province_anchor,정보통신업,1,24,1,286187.54,14082.934537818568,13981.241240155981,17.199701270328106,4.920876198110711,4.885342401753753,-0.03553379635695819
prior_year_province_anchor,정보통신업,2,24,2,286187.54,12017.37893050785,13584.863931641119,16.37924792784648,4.199127233319749,4.746839758167361,0.5477125248476122
prior_year_province_anchor,정보통신업,3,24,6,286187.54,11663.337033986929,16006.013691616568,16.351084662217797,4.07541748113385,5.592840866383131,1.5174233852492813
prior_year_province_anchor,정보통신업,4,24,6,286187.54,11723.268398313312,14344.668116526364,16.35136956690851,4.096358771703797,5.012331465068802,0.9159726933650045
recursive_no_target_actual,건설업,1,22,6,899593.6799999999,119943.1387034324,85338.88885657585,34.921380318589684,13.33303483228477,9.486381546897467,-3.846653285387303
recursive_no_target_actual,건설업,2,22,7,899593.6799999999,118433.39712114182,84249.38118568962,31.62331287664881,13.165210000268324,9.365270461403155,-3.7999395388651696
recursive_no_target_actual,건설업,3,22,11,899593.6799999999,114995.66680785191,67540.11128806412,18.045917500614113,12.783067440830834,7.507846352151354,-5.27522108867948
recursive_no_target_actual,건설업,4,22,11,899593.6799999999,111446.84227278245,64848.28055685545,15.584596533511114,12.388575503640983,7.208618957489281,-5.179956546151701
recursive_no_target_actual,"광업, 제조업",1,14,2,3861314.0400000005,182334.4671408356,159077.4090919274,21.26127054072196,4.72208334396017,4.119773927839534,-0.6023094161206366
recursive_no_target_actual,"광업, 제조업",2,14,2,3861314.0400000005,177194.50983492905,217893.4440187959,20.235932942832594,4.588969143647509,5.642986863062707,1.0540177194151985
recursive_no_target_actual,"광업, 제조업",3,14,2,3861314.0400000005,180245.30078640854,345924.0534176417,45.38825513528681,4.667978281984246,8.958713273102274,4.290734991118028
recursive_no_target_actual,"광업, 제조업",4,14,2,3861314.0400000005,194030.00607619772,428494.2950313424,59.35469667855071,5.024973469295901,11.097110739828413,6.072137270532512
recursive_no_target_actual,교육 서비스업,1,23,1,786208.4600000002,11391.055169699377,11708.572890884794,7.107119998425714,1.4488593991597818,1.4892453447886824,0.04038594562890063
