track,activity,available_quarters,rows,official_sum_eok,baseline_abs_error_sum_eok,selected_abs_error_sum_eok,adopted_rows,max_selected_ape_pct,baseline_wape_pct,selected_wape_pct,delta_wape_pp
recursive_no_target_actual,숙박 및 음식점업,2,19,261051.91,12961.496013740318,8858.537970156283,11,9.935150083634545,4.965102922916871,3.3934009408919024,-1.5717019820249685
recursive_no_target_actual,숙박 및 음식점업,3,19,261051.91,8680.874578846762,6124.228587715397,9,5.904730859307935,3.325344211749595,2.345981145173539,-0.979363066576056
recursive_no_target_actual,숙박 및 음식점업,4,19,261051.91,7348.269082572757,3544.9005054507365,13,3.5480817665512485,2.8148689211171662,1.3579293503160872,-1.456939570801079
recursive_no_target_actual,운수 및 창고업,1,24,1026507.16,134306.44318590037,71366.01919602453,8,21.246804793675885,13.083829165487785,6.952315773036062,-6.131513392451723
recursive_no_target_actual,운수 및 창고업,2,24,1026507.16,135248.24194708018,51036.86659243698,10,17.156964946004447,13.175577065344598,4.9718958212076165,-8.20368124413698
recursive_no_target_actual,운수 및 창고업,3,24,1026507.16,136196.4376997794,36281.71662205996,10,14.208858187592405,13.26794814561054,3.5344825672779487,-9.733465578332591
recursive_no_target_actual,운수 및 창고업,4,24,1026507.16,138952.7488300503,34099.77641671601,10,12.032179929542588,13.536461726194904,3.3219228998574164,-10.214538826337488
recursive_no_target_actual,정보통신업,1,24,286187.54,21884.69698484721,13315.616044395143,8,23.7462018524683,7.646977567523454,4.652758832336008,-2.994218735187446
recursive_no_target_actual,정보통신업,2,24,286187.54,19592.71025297722,9827.249131999246,10,9.455586029966161,6.846108762448995,3.4338494023881143,-3.4122593600608804
recursive_no_target_actual,정보통신업,3,24,286187.54,19152.670955776874,9054.654518940868,14,11.708419923429169,6.692349693413234,3.163888448442189,-3.5284612449710444
recursive_no_target_actual,정보통신업,4,24,286187.54,19175.348683779368,6928.400539133701,17,8.919343716517561,6.700273772848171,2.420930184149073,-4.279343588699098
